Performing system checks...

System check identified no issues (0 silenced).
November 27, 2024 - 19:56:49
Django version 4.2.16, using settings 'core.settings'
Starting development server at http://127.0.0.1:7348/
Quit the server with CTRL-BREAK.

[27/Nov/2024 19:56:49] "GET /QueryManager/ HTTP/1.1" 200 12882
[27/Nov/2024 19:56:49] "GET /QueryManager/static/custom.css HTTP/1.1" 304 0
[27/Nov/2024 19:56:49] "GET /QueryManager/static/bootstrap.min.css HTTP/1.1" 304 0
[27/Nov/2024 19:56:49] "GET /QueryManager/static/query_manager.png HTTP/1.1" 304 0
[27/Nov/2024 19:56:49] "GET /QueryManager/static/profile_pics/default2.jpg HTTP/1.1" 304 0
[27/Nov/2024 19:56:49] "GET /QueryManager/media/profile_pics/ironman.jfif HTTP/1.1" 304 0
